Well_ID	Condition
A01	Condition_001
A02	Condition_002
A03	Condition_003
A04	Condition_004
A05	Condition_005
A06	Condition_006
A07	Condition_007
A08	Condition_008
A09	Condition_009
A10	Condition_010
A11	Condition_011
A12	Condition_012
A13	Condition_013
A14	Condition_014
A15	Condition_015
A16	Condition_016
A17	Condition_017
A18	Condition_018
A19	Condition_019
A20	Condition_020
A21	Condition_021
A22	Condition_022
A23	Condition_023
A24	Condition_024
B01	Condition_001
B02	Condition_002
B03	Condition_003
B04	Condition_004
B05	Condition_005
B06	Condition_006
B07	Condition_007
B08	Condition_008
B09	Condition_009
B10	Condition_010
B11	Condition_011
B12	Condition_012
B13	Condition_013
B14	Condition_014
B15	Condition_015
B16	Condition_016
B17	Condition_017
B18	Condition_018
B19	Condition_019
B20	Condition_020
B21	Condition_021
B22	Condition_022
B23	Condition_023
B24	Condition_024
C01	Condition_001
C02	Condition_002
C03	Condition_003
C04	Condition_004
C05	Condition_005
C06	Condition_006
C07	Condition_007
C08	Condition_008
C09	Condition_009
C10	Condition_010
C11	Condition_011
C12	Condition_012
C13	Condition_013
C14	Condition_014
C15	Condition_015
C16	Condition_016
C17	Condition_017
C18	Condition_018
C19	Condition_019
C20	Condition_020
C21	Condition_021
C22	Condition_022
C23	Condition_023
C24	Condition_024
D01	Condition_001
D02	Condition_002
D03	Condition_003
D04	Condition_004
D05	Condition_005
D06	Condition_006
D07	Condition_007
D08	Condition_008
D09	Condition_009
D10	Condition_010
D11	Condition_011
D12	Condition_012
D13	Condition_013
D14	Condition_014
D15	Condition_015
D16	Condition_016
D17	Condition_017
D18	Condition_018
D19	Condition_019
D20	Condition_020
D21	Condition_021
D22	Condition_022
D23	Condition_023
D24	Condition_024
E01	Condition_001
E02	Condition_002
E03	Condition_003
E04	Condition_004
E05	Condition_005
E06	Condition_006
E07	Condition_007
E08	Condition_008
E09	Condition_009
E10	Condition_010
E11	Condition_011
E12	Condition_012
E13	Condition_013
E14	Condition_014
E15	Condition_015
E16	Condition_016
E17	Condition_017
E18	Condition_018
E19	Condition_019
E20	Condition_020
E21	Condition_021
E22	Condition_022
E23	Condition_023
E24	Condition_024
F01	Condition_001
F02	Condition_002
F03	Condition_003
F04	Condition_004
F05	Condition_005
F06	Condition_006
F07	Condition_007
F08	Condition_008
F09	Condition_009
F10	Condition_010
F11	Condition_011
F12	Condition_012
F13	Condition_013
F14	Condition_014
F15	Condition_015
F16	Condition_016
F17	Condition_017
F18	Condition_018
F19	Condition_019
F20	Condition_020
F21	Condition_021
F22	Condition_022
F23	Condition_023
F24	Condition_024
G01	Condition_001
G02	Condition_002
G03	Condition_003
G04	Condition_004
G05	Condition_005
G06	Condition_006
